$Date,$Time,TEMPERATURA,SETPOINT,SALIDACONTROL,CAUDAL_FILTRADO,CAUDAL
03/13/17,19:19:58,38.92,35,40,616.2477,599
03/13/17,19:19:59,38.92,35,40,614.7097,606
03/13/17,19:20:00,38.92,35,40,612.6675,598
03/13/17,19:20:01,38.97,35,40,611.422,605
03/13/17,19:20:02,38.91,35,40,610.7786,614
03/13/17,19:20:03,38.91,35,40,611.1475,612
03/13/17,19:20:04,38.9,35,40,612.4514,620
03/13/17,19:20:05,39,35,40,613.0279,610
03/13/17,19:20:06,38.93,35,40,613.5555,615
03/13/17,19:20:07,38.93,35,40,613.7296,604
03/13/17,19:20:08,38.93,35,40,613.2732,609
03/13/17,19:20:09,39.03,35,40,614.1991,624
03/13/17,19:20:10,38.95,35,40,614.678,608
03/13/17,19:20:11,38.92,35,40,614.4116,619
03/13/17,19:20:12,38.95,35,40,613.641,606
03/13/17,19:20:13,39.02,35,40,613.6458,619
03/13/17,19:20:14,38.95,35,40,613.4007,610
03/13/17,19:20:15,38.95,35,40,612.0361,609
03/13/17,19:20:16,38.91,35,40,610.928,597
03/13/17,19:20:17,38.95,35,40,608.9404,603
03/13/17,19:20:18,38.96,35,40,607.8684,609
03/13/17,19:20:19,38.96,35,40,608.7174,627
03/13/17,19:20:20,38.96,35,40,610.2519,616
03/13/17,19:20:21,38.96,35,40,612.1252,626
03/13/17,19:20:22,38.99,35,20,613.4836,617
03/13/17,19:20:23,38.95,35,20,614.5537,622
03/13/17,19:20:24,38.95,35,20,615.8766,631
03/13/17,19:20:25,38.95,35,20,617.7609,622
03/13/17,19:20:26,38.95,35,20,618.0072,622
03/13/17,19:20:27,38.95,35,20,619.1245,625
03/13/17,19:20:28,38.94,35,20,620.6957,625
03/13/17,19:20:29,38.94,35,20,621.4767,630
03/13/17,19:20:30,38.94,35,20,622.5778,625
03/13/17,19:20:31,38.94,35,20,624.347,641
03/13/17,19:20:32,38.93,35,20,627.2181,633
03/13/17,19:20:33,38.92,35,20,631.0831,647
03/13/17,19:20:34,38.92,35,20,634.0587,644
03/13/17,19:20:35,38.92,35,20,637.7864,653
03/13/17,19:20:36,38.92,35,20,641.7112,662
03/13/17,19:20:37,38.92,35,20,643.8823,646
03/13/17,19:20:38,38.96,35,20,645.1192,652
03/13/17,19:20:39,38.92,35,20,646.3018,649
03/13/17,19:20:40,38.92,35,20,647.3553,654
03/13/17,19:20:41,38.92,35,20,648.846,664
03/13/17,19:20:42,38.91,35,20,650.8177,660
03/13/17,19:20:43,38.89,35,20,652.7233,675
03/13/17,19:20:44,38.87,35,20,656.147,663
03/13/17,19:20:45,38.86,35,20,656.7434,661
03/13/17,19:20:46,38.87,35,20,657.2578,650
03/13/17,19:20:47,38.86,35,20,657.6008,660
03/13/17,19:20:48,38.82,35,20,659.1616,668
03/13/17,19:20:49,38.82,35,20,660.3411,660
03/13/17,19:20:50,38.76,35,20,659.7764,660
03/13/17,19:20:51,38.72,35,20,658.0253,641
03/13/17,19:20:52,38.71,35,20,656.3978,654
03/13/17,19:20:53,38.71,35,20,655.9924,649
03/13/17,19:20:54,38.76,35,20,654.9596,647
03/13/17,19:20:55,38.66,35,20,654.2586,652
03/13/17,19:20:56,38.64,35,20,652.864,638
03/13/17,19:20:57,38.62,35,20,652.4563,658
03/13/17,19:20:58,38.67,35,20,653.6456,647
03/13/17,19:20:59,38.55,35,20,653.3961,649
03/13/17,19:21:00,38.55,35,20,653.8801,658
03/13/17,19:21:01,38.52,35,20,654.9687,651
03/13/17,19:21:02,38.52,35,20,655.5317,659
03/13/17,19:21:03,38.46,35,20,654.9005,638
03/13/17,19:21:04,38.39,35,20,653.8647,647
03/13/17,19:21:05,38.39,35,20,653.7634,653
03/13/17,19:21:06,38.41,35,20,653.6271,646
03/13/17,19:21:07,38.4,35,20,653.7091,656
03/13/17,19:21:08,38.38,35,20,654.2465,646
03/13/17,19:21:09,38.36,35,20,653.7104,648
03/13/17,19:21:10,38.41,35,20,654.2473,661
03/13/17,19:21:11,38.3,35,20,656.9946,666
03/13/17,19:21:12,38.28,35,20,657.8627,664
03/13/17,19:21:13,38.27,35,20,657.741,649
03/13/17,19:21:14,38.33,35,20,657.7805,665
03/13/17,19:21:15,38.24,35,20,658.6773,657
03/13/17,19:21:16,38.22,35,20,658.0959,657
03/13/17,19:21:17,38.21,35,20,657.9675,666
03/13/17,19:21:18,38.22,35,20,657.3552,653
03/13/17,19:21:19,38.18,35,20,656.651,666
03/13/17,19:21:20,38.15,35,20,657.5015,656
03/13/17,19:21:21,38.15,35,20,656.8947,657
03/13/17,19:21:22,38.13,35,20,655.9786,646
03/13/17,19:21:23,38.12,35,20,655.178,649
03/13/17,19:21:24,38.12,35,20,653.7994,648
03/13/17,19:21:25,38.08,35,20,652.483,648
03/13/17,19:21:26,38.13,35,20,652.2421,661
03/13/17,19:21:27,38.05,35,20,652.1176,645
03/13/17,19:21:28,38.07,35,20,652.0655,658
03/13/17,19:21:29,38.02,35,20,652.9472,655
03/13/17,19:21:30,38.09,35,20,653.3132,647
03/13/17,19:21:31,38,35,20,653.0732,661
03/13/17,19:21:32,38,35,20,654.398,650
03/13/17,19:21:33,37.99,35,20,654.6038,656
03/13/17,19:21:34,38.07,35,20,654.5145,646
03/13/17,19:21:35,37.98,35,20,654.8192,657
03/13/17,19:21:36,37.95,35,20,655.3551,662
03/13/17,19:21:37,37.93,35,20,656.0168,656
03/13/17,19:21:38,37.97,35,20,657.6207,673
03/13/17,19:21:39,37.89,35,20,658.7862,653
03/13/17,19:21:40,37.87,35,20,658.3783,655
03/13/17,19:21:41,37.86,35,20,656.2425,644
03/13/17,19:21:42,37.89,35,20,652.4229,633
03/13/17,19:21:43,37.82,35,20,649.5463,647
03/13/17,19:21:44,37.8,35,20,647.7816,634
03/13/17,19:21:45,37.73,35,20,645.844,645
03/13/17,19:21:46,37.79,35,20,644.678,643
03/13/17,19:21:47,37.73,35,20,645.0635,651
03/13/17,19:21:48,37.68,35,20,645.934,665
03/13/17,19:21:49,37.64,35,20,648.3359,658
03/13/17,19:21:50,37.64,35,20,650.0218,665
03/13/17,19:21:51,37.53,35,20,650.9982,653
03/13/17,19:21:52,37.54,35,20,651.4644,658
03/13/17,19:21:53,37.51,35,20,651.9716,663
03/13/17,19:21:54,37.53,35,20,652.5671,659
03/13/17,19:21:55,37.4,35,20,653.4915,667
03/13/17,19:21:56,37.29,35,20,653.8592,655
03/13/17,19:21:57,37.26,35,20,654.2744,658
03/13/17,19:21:58,37.3,35,20,654.3235,647
03/13/17,19:21:59,37.24,35,20,653.4674,646
03/13/17,19:22:00,37.2,35,20,652.7058,650
03/13/17,19:22:01,37.15,35,20,652.1245,650
03/13/17,19:22:02,37.13,35,20,652.1869,664
03/13/17,19:22:03,37.1,35,20,651.9315,648
03/13/17,19:22:04,37.06,35,20,651.6444,657
03/13/17,19:22:05,37.02,35,20,650.9808,650
03/13/17,19:22:06,36.93,35,20,650.9943,654
03/13/17,19:22:07,36.81,35,20,651.6953,669
